last,first,instructor_avg,course_avg,overall_avg,courses,confidence
Abbasian,Javad,4.5,4.34,4.42,"['CHE351', 'CHE494', 'CHE451', 'CHE503', 'CHE496', 'CHE296']",18
Abdolhossein Pour,Farid,4.5,4.4,4.45,['ARCH497'],1
Acosta,Andrew,3.31,3.62,3.465,"['MSF545', 'MSF585']",2
Acosta,Ivan,,,,['AS301'],
Adams,Aaron,4.55,4.55,4.55,['ARCH202'],1
Adams,Bernhard,,,,['BME431'],
Adams,Kate,4.56,4.49,4.525,"['PESL031', 'PESL022', 'PESL021']",3
Ade-Oshifogun,Olawale,2.2,2.78,2.49,"['ITMD421', 'IT']",2
Aderangi,Nader,4.34,4.17,4.255,"['CHE301', 'CHE302', 'CHE418', 'CHE202', 'CHE317', 'CHE351']",39
Adler,Andre,3.77,4.16,3.965,"['MATH474', 'MATH251', 'MATH252', 'MATH475', 'MATH151', 'MATH483', 'MATH540', 'MATH333', 'MATH476']",24
Agam,Gady,4.37,4.37,4.37,"['CS411', 'CS584', 'CS512', 'CS422']",12
Ahmadi,Omid,4.27,3.95,4.109999999999999,"['PHYS224', 'PHYS221', 'PHYS123', 'PHYS413']",7
Ahmed,Shujaat,,,,['PSYC301'],
Akbas,Bulent,,,,['CAE431'],
Aldawud,Omar,4.35,4.32,4.335,"['CS445', 'CS487', 'CSP585', 'CS525', 'CS425', 'ITM312', 'ITM311', 'ITMD466', 'ITMD422', 'ITMD527', 'ITMD413', 'IT']",32
Alexis,Jeremy,4.09,3.81,3.95,"['ID535', 'ID536', 'ID570', 'ID573', 'ID574', 'ID519', 'ID537', 'IPRO497', 'ID533', 'ID534', 'ID580', 'ID598', 'IPRO397', 'ID584', 'IPMM501', 'IPRO100', 'IDX542', 'IDX544']",25
Alimoradi,Arzhang,4.19,4.27,4.23,['CAE431'],1
Allison,Fallon,4.21,3.98,4.095,['LIT380'],3
Alpan,Mete,3.48,3.48,3.48,"['MMAE232', 'MMAE323', 'CAE530', 'MMAE525']",1
Altshuler,Joseph,,,,['ARCH438'],
Ammigan,Kavin,2.91,3.5,3.205,['MMAE320'],1
Anagnost,Adrian,4.75,4.25,4.5,['AAH322'],1
Anand,Sachin,3.97,3.99,3.9800000000000004,"['ARCH403', 'ARCH404', 'ARCH513', 'ARCH514']",13
Anand,Smriti,4.49,4.26,4.375,"['BUS301', 'MBA506', 'MSC611']",15
Anastasio,Mark,3.85,3.92,3.885,"['BME330', 'BME542', 'BME309']",2
Andersen,Leslie,4.81,4.79,4.8,"['COOP012', 'COOP013', 'COOP022', 'COOP032', 'COOP043', 'INTR015']",5
Anderson,John,4.44,4.89,4.665,['CHE351'],1
Anderson,Paul,4.19,4.09,4.140000000000001,"['CAE593', 'EM507', 'ENVE501', 'ENVE506', 'ENVE485', 'ENVE585', 'CHE426', 'CAE523', 'CAE589', 'ENVE404', 'ENVE542', 'CAE302']",28
Anderson,Rebecca,3.87,4.0,3.935,['PSYC301'],1
Anderson,Robert,4.59,4.47,4.529999999999999,"['CHE543', 'CHE506']",24
Anjali,Tricha,3.75,3.91,3.83,"['ECE407', 'ECE545', 'ECE542', 'ECE544']",13
Anthony,Sean,4.41,4.5,4.455,"['COM125', 'HUM380', 'LIT380']",3
Antler,Caroline,,,,['PSYC303'],
Arastoopour,Hamid,4.53,4.32,4.425000000000001,"['BME301', 'CHE301', 'CHE406', 'CHE542']",12
Araujo,Fabiana,4.27,3.8,4.035,['PSYC222'],1
Arditi,David,4.65,4.47,4.5600000000000005,"['CAE574', 'CAE575', 'CAE473', 'CAE577']",32
Arfanakis,Konstantinos,4.34,4.1,4.22,"['BME309', 'BME438']",8
Argamon,Shlomo,3.59,3.81,3.7,"['CS480', 'CS481', 'CS425', 'CS584', 'CS585', 'CSP572']",9
Arifi,Imir,3.94,4.26,4.1,['MSF555'],2
Arnold,Jason,4.29,4.29,4.29,['CS425'],1
Arora,Adarsh,4.69,4.47,4.58,"['ITMM481', 'IT', 'ITMM482', 'ITMM582']",6
Arshad,Tayyab,4.2,3.96,4.08,"['PSYC181', 'GLS227', 'GLS180']",3
Ashton,Weslynne,4.24,3.9,4.07,"['EMS504', 'EMS529', 'BUS510', 'BUS497', 'SMGT504', 'SMGT595']",13
Atkin,Guillermo,4.24,4.28,4.26,"['ECE403', 'ECE511', 'ECE515', 'ECE519', 'ECE708', 'ECE514', 'ECE513', 'ECE308', 'ECE721']",45
Attali,Anne,4.86,4.71,4.785,['ARCH497'],1
Attele,Kapila,4.35,4.22,4.285,"['MATH252', 'MATH333', 'MATH251']",23
Ayitou,Anoklase,2.27,2.55,2.41,['CHEM240'],1
Ayman,Roya,3.92,4.0,3.96,"['INTM511', 'PSYC556', 'PSYC558', 'PSYC580', 'PSYC531']",18
Ayyagari Venkata S,Ravi Sastri,4.0,3.82,3.91,['MMAE350'],1
Bach,Patricia,3.73,3.82,3.775,"['PSYC221', 'PSYC510', 'PSYC501', 'PSYC533', 'PSYC227']",8
Bachmann,Scott,,,,['ITMO557'],
Bachrach,Julie,4.4,4.4,4.4,['ARCH445'],1
Bader,Atef,4.58,4.42,4.5,"['CS447', 'CS587', 'CSP586', 'CSP587', 'CS763', 'CS521', 'CSP595']",37
Baek,Seungho,4.06,4.13,4.095,['BUS458'],1
Baerentzen,Mogens,4.41,4.24,4.325,"['PSYC410', 'PSYC549', 'PSYC557', 'PSYC563', 'PSYC578', 'PSYC411', 'PSYC588']",8
Bahramirad,Shaghayegh,3.99,4.06,4.025,"['CAE383', 'CAE466', 'ECE580', 'ECE581', 'ECE579']",7
Bailey,Brian,4.68,4.58,4.63,"['ITMD461', 'ITMD462', 'ITMD562', 'IT', 'ITMD465', 'ITMD565']",11
Bailey,Jennifer,4.41,4.4,4.405,['PSYC303'],2
Baird,James,4.59,4.25,4.42,"['ARCH417', 'ARCH543']",4
Bakalli,Burim,4.06,3.76,3.9099999999999997,['IT'],1
Balasubramanian,Siva,,,,['MSC612'],
Balogh,Brett,4.22,4.02,4.119999999999999,"['ARCH125', 'ARCH433', 'ARCH226', 'ARCH435', 'ARCH420', 'ARCH497', 'ARCH508', 'ARCH208', 'ARCH507']",7
Bariff,Martin,3.71,3.79,3.75,"['BUS423', 'MBA515', 'MBA537', 'BUS221', 'MAC522', 'MBA554', 'MAC524', 'MAC525', 'BUS102', 'BUS550', 'MAX522', 'BUS497']",19
Barnes,Jessica,4.14,4.29,4.215,['IPRO497'],1
Barney,Carol,4.26,4.32,4.29,"['ARCH417', 'ARCH418', 'ARCH420', 'ARCH419']",4
Barney,Ross,4.75,4.5,4.625,"['ARCH201', 'ARCH418', 'ARCH417']",1
Barone,Thomas,4.69,4.31,4.5,"['PESL021', 'PESL032', 'PESL041', 'PESL061', 'PESL022', 'PESL062', 'ELP861', 'ELP862']",7
Barrea,Raul,3.18,3.26,3.2199999999999998,"['PHYS123', 'PHYS221']",4
Basha,Anwer,4.0,4.3,4.15,['CHEM530'],1
Batchos,Elisabeth,4.54,4.42,4.48,"['PSYC222', 'PSYC303', 'PSYC380']",3
Batka,Shawn,,,,['INTM446'],
Batson,Laura,4.52,4.3,4.41,"['COM111', 'COM580', 'COM101', 'COM421', 'COM523', 'IPRO497', 'COM428']",16
Bauer,Charles,4.58,4.27,4.425,"['CS485', 'CS560', 'CS561']",15
Bauer,Kristina,4.55,4.23,4.390000000000001,"['PSYC409', 'PSYC517', 'PSYC301', 'PSYC555']",4
Bauer,Matthew,4.42,4.13,4.275,"['CS201', 'CS105', 'CS430', 'CS330', 'CS100', 'CS104', 'CS110', 'CS115', 'CS116']",39
Bauer,Matthew,4.58,4.19,4.385,"['COM301', 'COM601', 'IPRO497', 'COM380', 'COM580', 'COM308', 'HUM200']",13
Beck,Steven,4.11,3.86,3.9850000000000003,"['IPRO497', 'CAE469']",11
Beckman,Alan Mattox,4.61,4.27,4.4399999999999995,"['CS331', 'CS440', 'IPRO497', 'CS536', 'CS541', 'CS443']",27
Bedoya Ikeda,Carlos Alberto,,,,['ARCH419'],
Bekiarov,Stoyan,4.05,4.14,4.095,"['ECE551', 'ECE550']",3
Bekyarova,Tanya,4.66,4.34,4.5,"['BIOL305', 'BIOL533', 'BIOL114', 'BIOL117', 'BIOL522', 'BIOL446', 'BIOL501', 'BIOL523', 'BIOL115']",33
Beltemacchi,Peter,3.43,3.02,3.225,"['ARCH520', 'CRP201', 'CRP465', 'CRP519', 'ARCH418', 'CRP520']",5
Ben-Zeev,Dror,4.73,4.45,4.59,"['PSYC227', 'PSYC303', 'PSYC497']",5
Bennett,Faith,3.9,3.82,3.86,"['LIT328', 'LIT343', 'LIT366', 'LIT380']",8
Bennett,Jason,4.38,4.29,4.335,"['AS101', 'AS202', 'AS401', 'AS302']",2
Berkaliev,Zaur,,,,"['MATH420', 'MSED552', 'MATH300']",
Bernard,Christopher,,,,['IPRO497'],
Berry,James,,,,"['EM501', 'EM502']",
Bettler,John,4.53,4.43,4.48,"['ECE420', 'ECE554']",7
Betts,Katherine,4.54,4.4,4.470000000000001,"['HUM380', 'HUM341', 'HUM343']",16
Bevel,Sherrilynn,4.43,4.14,4.285,"['PS303', 'PS345']",1
Bhushan,Abhinav,2.5,2.45,2.475,['BME301'],1
Bielecki,Tomasz,4.48,4.54,4.51,"['MATH481', 'MATH251', 'MATH540', 'MATH587', 'MATH542', 'MATH582']",10
Bilgic,Mustafa,4.62,4.5,4.5600000000000005,"['CS595', 'CS522', 'CS480', 'CS583', 'CS695', 'CS584']",13
Biljetina,Jolynne,,,,['PSYC303'],
Bilson,John,4.53,4.45,4.49,"['MSF504', 'MSF584', 'MSF585']",9
Bishnoi,Sandra,4.22,3.89,4.055,"['CHEM247', 'CHEM125']",3
Bistriceanu,Virgil,4.11,3.91,4.01,"['CS458', 'CS470', 'CS445', 'CS487', 'CS402']",16
Blair,John,4.11,4.2,4.155,"['INTM441', 'INTM446']",5
Blair,John,4.11,4.2,4.155,"['INTM441', 'INTM446']",5
Blanco,Cesar,,,,['PA536'],
Blender,Richard,3.73,4.03,3.88,"['ARCH418', 'ARCH306', 'ARCH305']",4
Blenner,Sarah,3.91,3.82,3.865,['IPRO497'],1
Bliss,Daniel,3.9,3.85,3.875,"['PS202', 'PS232', 'PS314', 'PS317', 'PS315', 'PS408', 'SSCI354', 'PS214']",8
Blumenfeld,Carrie,,,,['IPRO497'],
Bobco,William,4.7,4.39,4.545,['INTM442'],3
Boghosian,Michael,4.38,4.38,4.38,['MMAE350'],1
Boland,William,,,,"['AS101', 'AS102']",
Boldridge,David,4.77,4.77,4.77,['CHEM544'],1
Boliske,Dylan,4.35,4.33,4.34,['CS201'],2
Boltz,David,4.25,4.25,4.25,['BIOL503'],1
Bombacino,Julie,2.33,2.83,2.58,['MC546'],1
Bonaccorsi,Richard,5.0,5.0,5.0,['PA568'],1
Bonvicini,Andrew,4.54,4.78,4.66,"['LIT343', 'LIT380']",2
Boonstra,Brian,4.05,4.09,4.07,['MSF526'],2
Borkar,Suresh,4.14,4.05,4.095,"['ECE218', 'ECE242', 'ECE485', 'ECE585', 'ECE739', 'ECE740', 'ECE211', 'ECE213', 'ECE307', 'ECE541', 'ECE497']",51
Bowles-Carey,Marilee,4.14,4.0,4.07,['IPRO497'],1
Bowman,Keith,4.41,4.11,4.26,"['MMAE100', 'MMAE200', 'MMAE468']",5
Bowman,Mark,4.85,4.67,4.76,"['MILS147', 'MILS148', 'MILS402']",4
Boyer,Peggy,3.75,3.84,3.795,"['PSYC221', 'PSYC301']",2
Braband,James,3.84,3.73,3.785,"['IPRO497', 'IPRO397']",16
Bracken,Robert,4.43,4.3,4.365,"['ARCH419', 'ARCH420']",3
Brankov,Jovan,4.04,4.22,4.13,"['ECE568', 'ECE565', 'ECE436', 'ECE569']",11
Branson,Qian,4.34,4.33,4.335,"['COM380', 'COM428']",2
Brasky,Karyn,4.17,4.17,4.17,['PSYC303'],1
Braucher,Charles,4.31,4.12,4.215,"['ARCH305', 'ARCH306', 'ARCH109']",4
Bredine,Sanford,4.11,4.1,4.105,"['BUS476', 'MC514', 'MC536', 'MC524', 'BUS462', 'BUS472', 'MAC511', 'MAC512']",14
Brekan,Jonathan,5.0,4.5,4.75,"['CHEM235', 'CHEM240', 'CHEM237']",1
Brest Van Kempen,Helen,4.74,4.43,4.585,"['PA510', 'CCE511']",2
Brethenoux,Erick,4.22,3.84,4.029999999999999,"['MAC523', 'MAX523']",2
Brey,Eric,4.45,4.26,4.355,"['BME482', 'BME310']",13
Briggs,William,4.25,4.25,4.25,"['EG105', 'EG419', 'CAE100', 'CAE101', 'CAE497', 'IPRO497', 'EG305']",32
Briley,Bruce,3.89,3.93,3.91,"['ECE570', 'ECE407']",10
Brininstool,David,5.0,4.78,4.890000000000001,['ARCH543'],1
Briones,Santos,4.79,4.66,4.725,"['AS301', 'AS102', 'AS302']",3
Broadhead,Glenn,4.55,4.53,4.54,"['COM423', 'HUM380', 'LIT380']",4
Brock,Thomas,4.62,4.41,4.515000000000001,"['ARCH417', 'ARCH497', 'ARCH544', 'ARCH566', 'ARCH509', 'ARCH543']",15
Bronson,Catherine,4.47,4.2,4.335,"['HUM104', 'HUM380']",17
Brooke,Jonathan,4.69,4.24,4.465,['LA503'],2
Brown,Gerald,,,,['IPMM503'],
Brown,Ian,4.34,4.12,4.23,"['ECE552', 'ECE539', 'ECE319', 'ECE412']",7
Brown,Jeremy,,,,['ITMD411'],
Brown,Marshall,4.46,4.22,4.34,"['ARCH545', 'ARCH497', 'ARCH520', 'ARCH418', 'ARCH419', 'ARCH420', 'ARCH201', 'ARCH202']",14
Brown,Timothy,4.13,3.93,4.03,"['ARCH417', 'ARCH509', 'ARCH305', 'ARCH306', 'ARCH201', 'ARCH202', 'ARCH468', 'ARCH497', 'ARCH418']",16
Brubaker,Steven,4.75,4.53,4.640000000000001,"['ARCH543', 'ARCH418', 'ARCH417', 'ARCH419', 'ARCH420']",7
Bruder,Will,4.14,4.29,4.215,['ARCH418'],1
Budiman,Jeff,3.66,3.79,3.725,"['CAE221', 'IPRO497', 'CAE323', 'CAE307', 'CAE566', 'CAE286', 'CAE287', 'CAE562', 'CAE563']",22
Buendia,Jenna,4.68,4.4,4.54,"['PESL042', 'PESL061', 'PESL062', 'PESL022', 'ELP861', 'ELP862']",4
Bunker,Grant,4.39,4.2,4.295,"['PHYS485', 'PHYS414', 'PHYS308', 'PHYS309']",12
Buono,Robert,4.67,4.67,4.67,['ARCH561'],1
Burstein,James,4.05,4.09,4.07,['IPRO497'],6
Burton-Freeman,Britt,4.73,4.65,4.69,"['FPE401', 'FDSC825', 'FDSN405']",1
Buslik,Marc,,,,['PA516'],
Butala,Steven,4.67,4.0,4.335,"['PHYS770', 'PHYS550']",1
Cabrera,David,4.83,4.43,4.63,"['MATH251', 'MATH252']",4
Cage,Brant,3.59,3.83,3.71,"['CHEM344', 'CHEM343', 'CHEM125', 'CHEM584', 'CHEM416']",9
Cai,Li,4.34,4.35,4.345,"['MSF502', 'MSF554', 'MSC623']",9
Cai,Lin,4.36,4.4,4.380000000000001,"['ECE407', 'ECE408']",7
Calcaterra,Lidia,4.08,3.89,3.9850000000000003,"['CHEM122', 'CHEM124', 'CHEM125', 'CHEM126']",11
Calhoun,Mark,4.37,4.35,4.359999999999999,"['INTM441', 'INTM547']",4
Calia,Roland,4.85,4.69,4.77,"['PA501', 'PA532', 'PA541', 'PA511', 'PA560', 'PA599']",12
Calinescu,Gruia,3.82,4.05,3.9349999999999996,"['CS100', 'CS430', 'CS538', 'CS530', 'CS330', 'CS535']",14
Caltagirone,John,4.62,4.42,4.52,"['INTM441', 'INTM446', 'IPRO497']",11
Camasta,Susan,4.16,3.72,3.9400000000000004,['IPRO497'],6
Cammino,Roberto,4.6,4.38,4.49,"['MMAE200', 'MMAE201', 'MMAE202', 'MMAE304', 'MMAE100', 'MMAE306', 'MMAE302', 'MMAE332', 'MMAE451', 'IPRO497', 'CHE497', 'CHE597', 'MMAE445', 'MMAE545']",41
Canna,Romina,4.52,4.4,4.46,"['ARCH305', 'ARCH306', 'ARCH497', 'ARCH544']",3
Cappozzo,Jack,4.83,4.63,4.73,"['FPE524', 'FPE507']",17
Carlock-Gonnissen,Meghan,4.46,4.36,4.41,"['PS356', 'PS318']",3
Carlson,Carl,4.42,4.32,4.37,"['ITM531', 'ITM581', 'ITM532', 'ITMM581', 'ITMT531', 'ITMM481', 'ITMD532', 'ITMM582', 'IT']",12
Carreira,Domingo,3.67,3.79,3.73,"['CAE518', 'CAE551', 'CAE436']",11
Carroll,Brian,4.67,4.67,4.67,"['MILS148', 'MILS147']",2
Carroll,Mary Lou,,,,['HIST333'],
Cassel,Kevin,4.7,4.38,4.54,"['MMAE501', 'MMAE508', 'MMAE517', 'MMAE200', 'MMAE350', 'MMAE313']",20
Castelle,Michael,,,,['SOC356'],
Caven,Daniel,4.92,4.23,4.575,"['ARCH107', 'ARCH108']",2
Cedro,Rico,,,,['CRP520'],
Cesarone,John,4.6,4.5,4.55,"['MMAE557', 'MMAE589', 'MMAE715', 'MMAE547', 'MMAE590', 'CHE560', 'MMAE485', 'INTM412', 'MMAE202', 'MMAE200', 'MMAE546', 'MMAE560', 'MMAE232']",56
Chadha,Monica,3.75,3.88,3.815,"['ARCH417', 'ARCH544', 'IPRO497', 'ARCH201', 'ARCH202', 'ARCH305', 'ARCH306', 'ARCH497']",10
Chakravarthy,Srinivas,4.75,4.67,4.71,"['BIOL404', 'BIOL533']",1
Chakravarti,Arjun,4.38,4.31,4.345,"['BUS371', 'MBA511', 'MAC504', 'MBA523', 'MAX504']",17
Chakravorty,Alak,2.43,3.4,2.915,['PHYS123'],1
Chase,Paul,4.18,3.5,3.84,['EG105'],4
Chasson,Gregory,4.18,4.24,4.21,['PSYC505'],1
Chaudoin,Gregory,4.66,4.53,4.595000000000001,"['BUS455', 'MSF501', 'BUS452', 'MSF564', 'MSF565', 'MSF502', 'BUS221', 'BUS458', 'MSF504']",28
Chen,Shih-Yew,4.45,4.29,4.37,"['PHYS566', 'PHYS573', 'PHYS574', 'PHYS575']",3
Chen,Tao,,,,"['MATH252', 'MATH333']",
Chen,Wei,4.29,4.35,4.32,"['MMAE100', 'MMAE570', 'MS201', 'MMAE465']",3
Chen,Xin,4.54,4.4,4.470000000000001,"['CS495', 'CS513']",11
Cheng,Yu,3.83,4.06,3.945,"['ECE541', 'ECE719', 'ECE545', 'ECE218', 'ECE547', 'ECE543']",16
Cherwin,Kelly,4.49,4.25,4.37,"['BIOL511', 'SCI511']",9
Chichester,Daniel,,,,['IPRO497'],
Chlebus,Edward,4.39,4.26,4.324999999999999,"['CS542', 'CS544', 'CS555', 'CS455', 'CS458', 'CS104']",25
Chmielewski,Donald,4.3,4.02,4.16,"['CHE100', 'CHE435', 'IPRO497', 'CHE101', 'CHE530', 'CHE439', 'CHE433', 'CHE535', 'CHE239']",26
Choi,Kyuwon,4.36,4.52,4.4399999999999995,"['ECE429', 'ECE530', 'ECE588', 'ECE218']",24
Choi,Yon,4.41,4.36,4.385,"['CSP541', 'CS401', 'CS402', 'CS455', 'CS542', 'CS331', 'CS544', 'CS548', 'CS350']",22
Choi,Yon,4.41,4.36,4.385,"['CSP541', 'CS401', 'CS402', 'CS455', 'CS542', 'CS331', 'CS544', 'CS548', 'CS350']",22
Chong,Hyun-Soon,4.09,3.99,4.04,"['CHEM235', 'CHEM239', 'CHEM434', 'CHEM584', 'CHEM240', 'CHEM455', 'CHEM597', 'CHEM560', 'CHEM237']",13
Chu,Erica,,,,['HUM380'],
Cialenco,Igor,4.59,4.46,4.525,"['MATH475', 'MATH485', 'MATH593', 'MATH582', 'MATH500', 'MATH501', 'MATH543', 'MATH474', 'MATH545', 'MATH548']",21
Cigularov,Konstantin,4.53,4.27,4.4,"['PSYC203', 'PSYC301', 'PSYC555', 'PSYC380']",4
Cinar,Ali,4.31,4.06,4.185,"['BME497', 'CHE435', 'IPRO497', 'BME417']",6
Clack,Herek,3.99,3.75,3.87,"['MMAE322', 'MMAE100', 'MMAE523']",7
Clair,Joseph,3.06,3.19,3.125,"['ARCH403', 'ARCH404', 'IPRO497']",16
Clancy,Sheila,4.75,4.88,4.8149999999999995,['PA510'],1
Clark,Ann,4.73,4.55,4.640000000000001,"['ARCH545', 'ARCH418']",1
Clarke,Joseph,4.39,4.34,4.365,"['ARCH503', 'ARCH497', 'ARCH502', 'AURB201']",2
Clarke,Maria,,,,['ARCH509'],
Clarke,Mary,4.26,4.36,4.3100000000000005,"['PSYC557', 'PSYC523']",2
Clegg,Richard,,,,['COM523'],
Clemens,Natalie,4.19,4.31,4.25,"['ARCH113', 'ARCH114']",2
Coates,James,4.9,4.72,4.8100000000000005,['INTM314'],4
Cobo,Jorge,3.69,1.69,2.69,['IPRO497'],1
Cody,Robert,4.65,4.28,4.465,"['PESL022', 'PESL031', 'PESL032', 'PESL042']",3
Coffey,Liam,4.29,4.28,4.285,"['PHYS405', 'PHYS509', 'PHYS406', 'PHYS440', 'PHYS223', 'PHYS224', 'PHYS515', 'PHYS304', 'PHYS505']",18
Colaner,Anna,4.5,4.5,4.5,['SOC351'],1
Cole,Joseph,4.6,4.25,4.425,"['PESL021', 'PESL041', 'PESL061', 'ELP821', 'ELP841']",3
Conger-Austin,Susan,4.63,4.2,4.415,"['ARCH417', 'ARCH588', 'ARCH590', 'ARCH593', 'ARCH545', 'ARCH541', 'ARCH420', 'ARCH523', 'ARCH419', 'ARCH497']",12
Conrad Sczygielski,Megan,4.59,4.26,4.425,['BME200'],2
Conry,Beth,4.77,4.48,4.625,"['PESL021', 'PESL022', 'PESL062', 'PESL042', 'PESL061', 'ELP821', 'ELP822', 'ELP861']",10
Conzelmann,Guenter,4.75,4.63,4.6899999999999995,['EMS541'],1
Cook,John,4.45,4.45,4.45,['MSF549'],1
Cooley,Rodger,3.89,3.77,3.83,"['IPRO497', 'TECH497']",7
Cooper,Ricky,4.82,4.76,4.79,"['MSF504', 'MSC633', 'MSF545', 'MSC631', 'MSF546']",14
Coppersmith,Jody,4.26,4.16,4.21,['PSYC222'],2
Corcoran,Kevin,4.4,4.0,4.2,['PSYC380'],1
Cork,Douglas,3.84,3.99,3.915,"['BIOL550', 'BIOL451']",3
Cornell,Caitlin,4.64,4.51,4.574999999999999,"['PESL021', 'ELP821', 'ELP832', 'ELP862']",2
Cornubert,Christophe,,,,['ARCH419'],
Corradi Dell' Acqua,Edoarda,4.38,4.12,4.25,"['CAE468', 'CAE469', 'CAE100', 'CAE101', 'IPRO497', 'CAE446', 'CAE447']",11
Corrigan,Patrick,4.63,4.44,4.535,"['PSYC564', 'PSYC590', 'PSYC540']",13
Cothran,Thomas,4.59,4.52,4.555,"['PSYC221', 'PSYC222']",2
Cox,Curtis,4.29,3.96,4.125,['CAE383'],2
Crawford,David,4.0,3.64,3.8200000000000003,['ARCH561'],1
Crawley,Erin,4.71,4.14,4.425,"['COM428', 'HUM354']",1
Creticos,Peter,4.88,5.0,4.9399999999999995,['PA502'],1
Crimmin,Erik,,,,['IPRO497'],
Culotta,Aron,4.74,4.67,4.705,"['CS595', 'CS429', 'CS579', 'CS695', 'CS585']",7
Cummings,Michael,4.39,4.01,4.199999999999999,"['BIOL107', 'BIOL105', 'BIOL214']",8
Current,Jennifer,4.69,4.6,4.645,"['ARCH545', 'LA526', 'ARCH505', 'LA497']",2
Cursio,Joseph,4.35,4.02,4.185,"['MSF503', 'BUS321', 'BUS497']",2
Cutler,Jennifer,4.56,4.43,4.494999999999999,"['MAC523', 'MAC521']",6
Cwik,Michael,4.04,3.99,4.015000000000001,"['CHEM516', 'CHEM508']",6
Czaplicki,Michael,4.44,4.11,4.275,"['HIST380', 'HUM102', 'HIST338', 'HUM202']",12
Dabbert,James,4.81,4.74,4.775,"['AAH322', 'ENGL052', 'AAH323']",22
Dabney,Matthew,2.67,2.83,2.75,['BUS403'],1
Dadkhah Tehrani,Mohammad,4.0,4.0,4.0,['MMAE445'],1
Danly,Jill,4.34,4.36,4.35,"['ARCH113', 'ARCH114', 'ARCH305', 'ARCH306']",9
Daryaei,Hossein,4.54,4.53,4.535,"['FPE524', 'FDSN524']",2
Das,Udayan,,,,['CS115'],
Datta-Barua,Seebany,4.18,3.95,4.0649999999999995,"['MMAE411', 'MMAE541', 'MMAE552', 'MMAE305']",10
Dave,Pooja,3.89,3.89,3.89,['PSYC303'],1
Davids,Carol,4.59,4.44,4.515000000000001,"['ITM440', 'ITM546', 'ITM545', 'ITM547', 'INTM449', 'ITMO546', 'ITMO440', 'IT']",15
